InvoiceNo,SalesRepID,OrderDate,InvoiceDate,DueDate,InvoiceAmount,AmountPaid,OutstandingAmount,PaymentStatus
INV00269,SR015,2024-04-29,2024-05-04,2024-06-03,6534.62,5284.05,1250.57,Partially Paid
INV00270,SR016,2025-04-07,2025-04-09,2025-05-24,13726.98,7830.14,5896.84,Partially Paid
INV00271,SR015,2024-08-24,2024-08-27,2024-10-11,10306.68,4315,5991.68,Partially Paid
INV00272,SR006,2025-02-22,2025-02-24,2025-04-25,3198.77,799.7,2399.07,Partially Paid
INV00273,SR021,2024-09-03,2024-09-06,2024-11-05,18718.72,13316.52,5402.2,Partially Paid
INV00274,SR017,2025-03-11,2025-03-12,2025-04-26,2135.56,342.36,1793.2,Partially Paid
INV00275,SR015,2025-04-08,2025-04-13,2025-05-13,16705.41,1532.11,15173.3,Partially Paid
INV00276,SR008,2025-02-22,2025-02-26,2025-04-12,18644.2,7735.42,10908.78,Partially Paid
INV00277,SR013,2024-09-14,2024-09-17,2024-10-17,8030.24,655.31,7374.93,Partially Paid
INV00278,SR008,2024-01-15,2024-01-18,2024-02-17,16863.94,10960.9,5903.04,Partially Paid
INV00279,SR005,2024-03-11,2024-03-12,2024-04-26,18389.23,8688.08,9701.15,Partially Paid
INV00280,SR005,2025-01-23,2025-01-27,2025-03-13,12499.29,11322.58,1176.71,Partially Paid
INV00281,SR001,2024-05-11,2024-05-13,2024-06-12,11201.68,8146.25,3055.43,Partially Paid
INV00282,SR017,2024-08-04,2024-08-05,2024-09-19,5133.98,625.57,4508.41,Partially Paid
INV00283,SR008,2024-08-02,2024-08-07,2024-09-21,1724.74,1443.07,281.67,Partially Paid
INV00284,SR016,2024-11-01,2024-11-06,2024-12-06,12823.12,7373.9,5449.22,Partially Paid
INV00285,SR023,2024-03-14,2024-03-17,2024-05-01,530.5,187.17,343.33,Partially Paid
INV00286,SR019,2024-08-01,2024-08-03,2024-10-02,13530.19,7082.85,6447.34,Partially Paid
INV00287,SR012,2024-02-04,2024-02-09,2024-04-09,10392.89,10271.62,121.27,Partially Paid
INV00288,SR018,2024-01-11,2024-01-15,2024-02-29,1348.92,521.87,827.05,Partially Paid
INV00289,SR012,2024-05-09,2024-05-10,2024-06-24,15876.14,5474.13,10402.01,Partially Paid
INV00290,SR024,2024-12-02,2024-12-03,2025-02-01,14836.15,4933.3,9902.85,Partially Paid
INV00291,SR002,2024-06-29,2024-07-04,2024-08-18,16363.42,2865.06,13498.36,Partially Paid
INV00292,SR025,2024-12-16,2024-12-20,2025-02-18,9831.36,1792.04,8039.32,Partially Paid
INV00293,SR005,2024-02-02,2024-02-06,2024-03-07,6222.13,272.57,5949.56,Partially Paid
INV00294,SR007,2025-03-29,2025-03-30,2025-05-14,18700.73,9638.05,9062.68,Partially Paid
INV00295,SR018,2024-08-30,2024-09-02,2024-10-02,15189.17,2902.7,12286.47,Partially Paid
INV00296,SR012,2025-03-17,2025-03-18,2025-05-17,6972.53,867.91,6104.62,Partially Paid
INV00297,SR012,2024-08-11,2024-08-15,2024-10-14,9074.86,8679.91,394.95,Partially Paid
INV00298,SR011,2025-05-13,2025-05-15,2025-06-29,13995.34,5141.15,8854.19,Partially Paid
INV00299,SR017,2024-05-16,2024-05-17,2024-07-16,8777.74,3779.76,4997.98,Partially Paid
INV00300,SR006,2024-10-06,2024-10-09,2024-11-23,2500.66,820.02,1680.64,Partially Paid
INV00301,SR010,2024-06-05,2024-06-09,2024-08-08,14494.43,2415.42,12079.01,Partially Paid
INV00302,SR015,2024-06-28,2024-07-02,2024-08-01,14672.88,13375.9,1296.98,Partially Paid
INV00303,SR020,2024-08-10,2024-08-13,2024-10-12,19610.53,18588.91,1021.62,Partially Paid
INV00304,SR003,2024-12-09,2024-12-13,2025-01-27,10505.18,7877.81,2627.37,Partially Paid
INV00305,SR006,2025-05-02,2025-05-03,2025-06-02,17049.05,11560.77,5488.28,Partially Paid
INV00306,SR015,2024-01-18,2024-01-20,2024-02-19,5101.91,3291.56,1810.35,Partially Paid
INV00307,SR012,2024-07-15,2024-07-20,2024-08-19,12299.35,8352.02,3947.33,Partially Paid
INV00308,SR012,2024-07-09,2024-07-13,2024-08-12,11691.47,6190.16,5501.31,Partially Paid
INV00309,SR013,2024-06-09,2024-06-12,2024-07-12,19230.14,498.32,18731.82,Partially Paid
INV00310,SR006,2024-09-12,2024-09-17,2024-11-01,18314.08,2156.68,16157.4,Partially Paid
INV00311,SR025,2024-05-13,2024-05-17,2024-06-16,19929.12,5691.3,14237.82,Partially Paid
INV00312,SR016,2024-04-12,2024-04-13,2024-05-13,17130.11,7743.54,9386.57,Partially Paid
INV00313,SR023,2024-08-15,2024-08-16,2024-10-15,19367.44,19107.43,260.01,Partially Paid
INV00314,SR022,2024-06-26,2024-06-27,2024-08-26,11072.34,9869.13,1203.21,Partially Paid
INV00315,SR006,2024-12-30,2025-01-01,2025-02-15,10420.74,1264.69,9156.05,Partially Paid
INV00316,SR007,2025-02-09,2025-02-11,2025-03-13,15912.27,418.24,15494.03,Partially Paid
INV00317,SR018,2024-10-20,2024-10-23,2024-12-07,16171.4,8920.9,7250.5,Partially Paid
INV00318,SR020,2025-03-28,2025-03-29,2025-04-28,6531.17,6528.53,2.64,Partially Paid
INV00319,SR024,2024-09-02,2024-09-07,2024-10-22,15498.71,12760.7,2738.01,Partially Paid
INV00320,SR003,2024-03-05,2024-03-08,2024-05-07,1946.22,906.61,1039.61,Partially Paid
INV00321,SR017,2024-06-25,2024-06-27,2024-08-26,12975.98,2361.15,10614.83,Partially Paid
INV00322,SR005,2024-08-09,2024-08-14,2024-09-13,16712.12,8658.59,8053.53,Partially Paid
INV00323,SR010,2024-03-25,2024-03-27,2024-05-11,18727.39,4222.47,14504.92,Partially Paid
INV00324,SR017,2025-04-03,2025-04-06,2025-05-06,5386.8,3420.93,1965.87,Partially Paid
INV00325,SR018,2024-05-20,2024-05-22,2024-07-21,6405.08,3416.97,2988.11,Partially Paid
INV00326,SR017,2024-11-24,2024-11-26,2025-01-25,18861.34,2908.31,15953.03,Partially Paid
INV00327,SR022,2024-11-15,2024-11-20,2025-01-04,16929.34,9541.68,7387.66,Partially Paid
INV00328,SR001,2024-02-11,2024-02-12,2024-04-12,15534.94,4111.41,11423.53,Partially Paid
INV00329,SR007,2025-01-27,2025-02-01,2025-03-18,12553.11,380.18,12172.93,Partially Paid
INV00330,SR021,2024-10-06,2024-10-09,2024-12-08,19154.68,9250.65,9904.03,Partially Paid
INV00331,SR022,2024-07-26,2024-07-29,2024-09-12,1922.97,115.21,1807.76,Partially Paid
INV00332,SR015,2024-07-31,2024-08-04,2024-09-18,4478.45,2716.9,1761.55,Partially Paid
INV00333,SR011,2025-03-17,2025-03-20,2025-05-19,19766.46,6826.75,12939.71,Partially Paid
INV00334,SR013,2024-03-07,2024-03-10,2024-05-09,11452.2,3654.58,7797.62,Partially Paid
INV00335,SR015,2024-03-03,2024-03-06,2024-04-20,5334.42,516.43,4817.99,Partially Paid
INV00336,SR010,2025-04-29,2025-05-03,2025-07-02,8653.63,8330.73,322.9,Partially Paid
INV00337,SR006,2025-02-20,2025-02-23,2025-04-24,14562,2764.36,11797.64,Partially Paid
INV00338,SR006,2024-09-12,2024-09-17,2024-11-01,10225.81,3155.08,7070.73,Partially Paid
INV00339,SR001,2024-02-16,2024-02-20,2024-04-20,9416,2266.7,7149.3,Partially Paid
INV00340,SR019,2024-06-29,2024-06-30,2024-07-30,5986.45,3577.02,2409.43,Partially Paid
INV00341,SR021,2024-12-10,2024-12-14,2025-01-28,10965.47,9289.64,1675.83,Partially Paid
INV00342,SR014,2024-03-09,2024-03-12,2024-05-11,7632.66,3077.9,4554.76,Partially Paid
INV00343,SR002,2024-07-24,2024-07-25,2024-09-23,11455.43,4152.87,7302.56,Partially Paid
INV00344,SR010,2024-02-07,2024-02-11,2024-04-11,9281.91,5103.72,4178.19,Partially Paid
INV00345,SR020,2024-12-14,2024-12-19,2025-01-18,3008.94,290.91,2718.03,Partially Paid
INV00346,SR012,2025-02-10,2025-02-13,2025-04-14,18809.5,14200.52,4608.98,Partially Paid
INV00347,SR007,2024-11-04,2024-11-09,2024-12-24,10251.52,464.43,9787.09,Partially Paid
INV00348,SR005,2024-12-31,2025-01-03,2025-02-17,10626.99,1582.79,9044.2,Partially Paid
INV00349,SR017,2024-03-12,2024-03-15,2024-05-14,6711.34,2637.25,4074.09,Partially Paid
INV00350,SR020,2025-01-13,2025-01-16,2025-03-17,7059.28,5847.13,1212.15,Partially Paid
INV00351,SR018,2024-09-07,2024-09-12,2024-10-27,9760.41,162.38,9598.03,Partially Paid
INV00352,SR011,2024-12-10,2024-12-11,2025-01-25,11882.19,9467.19,2415,Partially Paid
INV00353,SR024,2025-03-22,2025-03-23,2025-05-22,9754.51,9433.3,321.21,Partially Paid
INV00354,SR025,2024-10-23,2024-10-28,2024-11-27,14567.3,8500.36,6066.94,Partially Paid
INV00355,SR006,2024-09-25,2024-09-30,2024-11-14,3381.63,2301.97,1079.66,Partially Paid
INV00356,SR002,2024-10-20,2024-10-21,2024-11-20,869.28,272.69,596.59,Partially Paid
INV00357,SR005,2024-07-30,2024-08-01,2024-09-15,10285.48,6289.35,3996.13,Partially Paid
INV00358,SR016,2025-03-22,2025-03-23,2025-05-22,3192.61,661.96,2530.65,Partially Paid
INV00359,SR011,2024-12-05,2024-12-09,2025-02-07,7848.08,7508.14,339.94,Partially Paid
INV00360,SR015,2025-04-12,2025-04-17,2025-06-01,11152.33,7537.51,3614.82,Partially Paid
INV00361,SR024,2024-12-14,2024-12-17,2025-02-15,9941.51,9517.38,424.13,Partially Paid
INV00362,SR009,2024-10-12,2024-10-15,2024-11-14,18858.97,18524.42,334.55,Partially Paid
INV00363,SR025,2024-05-27,2024-05-29,2024-07-28,14247.27,4516.97,9730.3,Partially Paid
INV00364,SR012,2024-10-13,2024-10-16,2024-11-30,2876.55,1946.34,930.21,Partially Paid
INV00365,SR013,2025-04-03,2025-04-07,2025-05-22,19114.87,15380.13,3734.74,Partially Paid
INV00366,SR010,2024-01-22,2024-01-25,2024-03-25,2041.07,1885.97,155.1,Partially Paid
INV00367,SR021,2024-05-11,2024-05-15,2024-06-14,4440.33,2391.46,2048.87,Partially Paid
INV00368,SR018,2024-12-22,2024-12-25,2025-01-24,2629.92,1948.48,681.44,Partially Paid
INV00369,SR008,2024-05-04,2024-05-05,2024-07-04,18151.09,4096.19,14054.9,Partially Paid
INV00370,SR008,2024-01-27,2024-01-28,2024-03-13,6940.73,3278.83,3661.9,Partially Paid
INV00371,SR022,2025-01-29,2025-01-31,2025-03-02,19308.12,18881.62,426.5,Partially Paid
INV00372,SR006,2024-07-27,2024-07-31,2024-09-14,13185.5,9967.07,3218.43,Partially Paid
INV00373,SR010,2024-06-13,2024-06-16,2024-08-15,1653.67,1271.22,382.45,Partially Paid
INV00374,SR021,2024-10-20,2024-10-22,2024-12-21,14904.39,12673.7,2230.69,Partially Paid
INV00375,SR002,2025-04-12,2025-04-14,2025-05-29,17703.78,3112.12,14591.66,Partially Paid
INV00376,SR002,2025-03-04,2025-03-08,2025-04-22,4133.08,3095.69,1037.39,Partially Paid
INV00377,SR010,2025-03-24,2025-03-25,2025-04-24,6318.65,3808.77,2509.88,Partially Paid
INV00378,SR011,2024-05-25,2024-05-29,2024-07-28,11094.36,5479.64,5614.72,Partially Paid
INV00379,SR005,2025-03-11,2025-03-16,2025-04-30,5820.32,4707.56,1112.76,Partially Paid
INV00380,SR011,2024-03-24,2024-03-28,2024-05-27,5516.67,1027.2,4489.47,Partially Paid
INV00381,SR024,2024-06-21,2024-06-24,2024-08-23,13650.82,2636.81,11014.01,Partially Paid
INV00382,SR020,2025-03-14,2025-03-18,2025-05-02,10547.97,914.91,9633.06,Partially Paid
INV00383,SR022,2024-02-18,2024-02-20,2024-03-21,9810.35,9180.77,629.58,Partially Paid
INV00384,SR001,2024-05-13,2024-05-17,2024-06-16,9211.34,2459.38,6751.96,Partially Paid
INV00385,SR011,2024-06-03,2024-06-08,2024-08-07,11671.11,3052.62,8618.49,Partially Paid
INV00386,SR012,2024-12-20,2024-12-22,2025-01-21,13521.83,6292.99,7228.84,Partially Paid
INV00387,SR006,2024-07-26,2024-07-31,2024-09-29,15511.9,10707.72,4804.18,Partially Paid
INV00388,SR021,2025-04-14,2025-04-17,2025-06-01,12485.2,2735.86,9749.34,Partially Paid
INV00389,SR005,2024-09-01,2024-09-03,2024-10-18,15080.83,9135.05,5945.78,Partially Paid
INV00390,SR014,2024-12-25,2024-12-30,2025-02-13,15268.34,12245.13,3023.21,Partially Paid
INV00391,SR007,2025-01-25,2025-01-27,2025-03-28,15217.42,13286.86,1930.56,Partially Paid
INV00392,SR003,2024-09-26,2024-09-30,2024-11-29,14223.44,1110.89,13112.55,Partially Paid
INV00393,SR019,2024-02-27,2024-02-28,2024-04-28,18106.32,3660.32,14446,Partially Paid
INV00394,SR018,2024-03-17,2024-03-19,2024-05-03,17162.48,7583.08,9579.4,Partially Paid
INV00395,SR022,2024-04-15,2024-04-20,2024-06-04,2273.36,1160.27,1113.09,Partially Paid
INV00396,SR002,2024-08-20,2024-08-22,2024-10-21,8600.78,4850.08,3750.7,Partially Paid
INV00397,SR018,2024-08-24,2024-08-27,2024-10-26,924.52,235.25,689.27,Partially Paid
INV00398,SR001,2025-01-16,2025-01-18,2025-03-19,1924.08,815.23,1108.85,Partially Paid
INV00399,SR023,2024-02-02,2024-02-07,2024-03-08,18724.36,1292.34,17432.02,Partially Paid
INV00400,SR016,2024-01-17,2024-01-20,2024-03-05,4009.64,543.02,3466.62,Partially Paid
INV00401,SR021,2025-05-15,2025-05-19,2025-07-03,19860.7,7596.31,12264.39,Partially Paid
INV00402,SR013,2024-07-11,2024-07-12,2024-09-10,19300.82,16879.6,2421.22,Partially Paid
INV00403,SR005,2024-11-30,2024-12-03,2025-01-02,3980.24,2138.42,1841.82,Partially Paid
INV00404,SR017,2024-03-06,2024-03-08,2024-04-07,15245.5,14917.58,327.92,Partially Paid
INV00405,SR015,2024-12-10,2024-12-15,2025-01-29,10872.71,8952.16,1920.55,Partially Paid
INV00406,SR008,2024-08-23,2024-08-26,2024-09-25,5875.17,5507.45,367.72,Partially Paid
INV00407,SR024,2025-01-26,2025-01-27,2025-02-26,16284.82,6827.26,9457.56,Partially Paid
INV00408,SR025,2025-04-24,2025-04-25,2025-05-25,4518.59,455.91,4062.68,Partially Paid
INV00409,SR002,2024-08-16,2024-08-21,2024-10-20,14214.08,691.89,13522.19,Partially Paid
INV00410,SR024,2024-01-23,2024-01-27,2024-03-12,5069.62,1101.47,3968.15,Partially Paid
INV00411,SR025,2024-01-29,2024-01-31,2024-03-31,19872.93,4653.48,15219.45,Partially Paid
INV00412,SR024,2024-10-21,2024-10-24,2024-12-23,12159.39,8177.58,3981.81,Partially Paid
INV00413,SR011,2024-05-01,2024-05-04,2024-06-03,19721.06,10279.62,9441.44,Partially Paid
INV00414,SR014,2024-06-02,2024-06-05,2024-07-05,11356,6718.97,4637.03,Partially Paid
INV00415,SR024,2025-04-11,2025-04-13,2025-06-12,13735.63,7634.96,6100.67,Partially Paid
INV00416,SR002,2025-05-12,2025-05-15,2025-07-14,13591.18,10680.01,2911.17,Partially Paid
INV00417,SR011,2024-12-22,2024-12-26,2025-02-09,3409.74,1283.63,2126.11,Partially Paid
INV00418,SR025,2024-10-02,2024-10-06,2024-11-05,17062.15,5131.21,11930.94,Partially Paid
INV00419,SR023,2024-03-14,2024-03-18,2024-04-17,11466.53,11097.15,369.38,Partially Paid
INV00420,SR018,2024-09-28,2024-09-30,2024-11-14,5235.74,1064.62,4171.12,Partially Paid
INV00421,SR021,2024-02-10,2024-02-14,2024-03-30,2303.05,1668.75,634.3,Partially Paid
INV00422,SR007,2024-01-27,2024-01-30,2024-03-15,13636.6,8221.81,5414.79,Partially Paid
INV00423,SR003,2024-04-06,2024-04-11,2024-06-10,13593.29,2949.97,10643.32,Partially Paid
INV00424,SR007,2025-03-21,2025-03-24,2025-05-08,19161.89,293.82,18868.07,Partially Paid
INV00425,SR007,2025-05-07,2025-05-08,2025-07-07,19991.65,9574.42,10417.23,Partially Paid
INV00426,SR008,2024-12-22,2024-12-27,2025-02-25,4488.01,4107.1,380.91,Partially Paid
INV00427,SR018,2024-06-13,2024-06-16,2024-07-31,9591.88,6222.46,3369.42,Partially Paid
INV00428,SR010,2024-05-13,2024-05-16,2024-07-15,17714.83,8255.18,9459.65,Partially Paid
INV00429,SR024,2024-08-28,2024-08-31,2024-09-30,7728.75,3199.16,4529.59,Partially Paid
INV00430,SR019,2025-03-18,2025-03-20,2025-05-19,3345.49,872.42,2473.07,Partially Paid
INV00431,SR019,2024-10-23,2024-10-27,2024-12-11,3472.02,1145.3,2326.72,Partially Paid
INV00432,SR013,2024-10-18,2024-10-20,2024-12-04,11237.53,10602.21,635.32,Partially Paid
INV00433,SR011,2024-05-11,2024-05-15,2024-07-14,13013.04,6384.14,6628.9,Partially Paid
INV00434,SR006,2025-01-10,2025-01-13,2025-02-12,3229.19,1764.9,1464.29,Partially Paid
INV00435,SR006,2025-04-14,2025-04-19,2025-06-18,19166.12,10041.98,9124.14,Partially Paid
INV00436,SR003,2025-04-28,2025-04-29,2025-05-29,8541.65,7196.72,1344.93,Partially Paid
INV00437,SR008,2024-02-04,2024-02-06,2024-03-07,4765.03,2172.9,2592.13,Partially Paid
INV00438,SR002,2024-11-12,2024-11-17,2025-01-01,13356.04,210.11,13145.93,Partially Paid
INV00439,SR018,2024-10-09,2024-10-13,2024-11-12,826.16,596.65,229.51,Partially Paid
INV00440,SR018,2025-05-15,2025-05-18,2025-06-17,10293.21,7183.21,3110,Partially Paid
INV00441,SR014,2025-02-16,2025-02-18,2025-03-20,18401.95,9649.71,8752.24,Partially Paid
INV00442,SR008,2024-04-08,2024-04-13,2024-06-12,5422.15,1921.83,3500.32,Partially Paid
INV00443,SR013,2024-02-10,2024-02-13,2024-03-29,9450.46,2298.43,7152.03,Partially Paid
INV00444,SR023,2024-04-25,2024-04-28,2024-06-27,16647.21,1342.05,15305.16,Partially Paid
INV00445,SR021,2025-01-23,2025-01-24,2025-02-23,8402.93,3169.33,5233.6,Partially Paid
INV00446,SR016,2024-01-29,2024-01-30,2024-03-30,3841.98,1920.45,1921.53,Partially Paid
INV00447,SR014,2024-11-26,2024-11-29,2025-01-28,19557.92,19046.28,511.64,Partially Paid
INV00448,SR017,2025-04-15,2025-04-16,2025-05-16,4622.63,4012.98,609.65,Partially Paid
INV00449,SR019,2024-08-31,2024-09-03,2024-10-03,18521.11,12676.38,5844.73,Partially Paid
INV00450,SR009,2025-04-05,2025-04-10,2025-06-09,13333.13,2391.36,10941.77,Partially Paid
INV00451,SR011,2024-01-09,2024-01-11,2024-03-11,3311.74,2717.91,593.83,Partially Paid
INV00452,SR013,2025-04-20,2025-04-21,2025-06-05,3667.78,882,2785.78,Partially Paid
INV00453,SR013,2024-12-12,2024-12-17,2025-01-31,7985,5906.87,2078.13,Partially Paid
INV00454,SR023,2025-01-05,2025-01-06,2025-03-07,15036.4,5200.48,9835.92,Partially Paid
INV00455,SR004,2024-08-11,2024-08-13,2024-09-12,7141.56,5491.9,1649.66,Partially Paid
INV00456,SR020,2024-07-22,2024-07-25,2024-08-24,12865.4,10080.66,2784.74,Partially Paid
INV00457,SR015,2024-09-08,2024-09-10,2024-10-25,11284.24,4236.41,7047.83,Partially Paid
INV00458,SR006,2024-12-14,2024-12-19,2025-02-17,7911.42,6108.94,1802.48,Partially Paid
INV00459,SR010,2025-02-12,2025-02-14,2025-04-15,1933.38,518.09,1415.29,Partially Paid
INV00460,SR013,2024-12-30,2025-01-01,2025-03-02,8097.63,2920.82,5176.81,Partially Paid
INV00461,SR003,2024-01-03,2024-01-06,2024-02-20,7518.39,2028.21,5490.18,Partially Paid
INV00462,SR005,2024-02-14,2024-02-16,2024-04-01,9252.45,5132.7,4119.75,Partially Paid
INV00463,SR014,2024-02-22,2024-02-23,2024-03-24,7401.33,688.8,6712.53,Partially Paid
INV00464,SR020,2025-02-05,2025-02-08,2025-03-25,740.64,306.48,434.16,Partially Paid
INV00465,SR025,2024-02-13,2024-02-18,2024-03-19,11653.23,1976.19,9677.04,Partially Paid
INV00466,SR013,2024-03-27,2024-03-29,2024-05-13,6372.06,3142.22,3229.84,Partially Paid
INV00467,SR003,2024-03-26,2024-03-30,2024-05-14,8711.5,4218.38,4493.12,Partially Paid
INV00468,SR003,2024-07-03,2024-07-06,2024-08-05,14557.54,7217.66,7339.88,Partially Paid
INV00469,SR020,2024-04-10,2024-04-14,2024-05-14,3142.05,21.26,3120.79,Partially Paid
INV00470,SR013,2024-06-19,2024-06-24,2024-08-08,16179.49,5331.82,10847.67,Partially Paid
INV00471,SR011,2024-08-08,2024-08-13,2024-09-12,6358.49,3835.51,2522.98,Partially Paid
INV00472,SR023,2024-04-12,2024-04-16,2024-05-31,3963.93,1578.59,2385.34,Partially Paid
INV00473,SR011,2024-05-29,2024-06-02,2024-08-01,15748.5,5132.22,10616.28,Partially Paid
INV00474,SR009,2025-02-22,2025-02-26,2025-04-12,2720.81,1534.13,1186.68,Partially Paid
INV00475,SR019,2024-10-06,2024-10-08,2024-12-07,15468.55,416.35,15052.2,Partially Paid
INV00476,SR024,2024-08-24,2024-08-26,2024-10-10,16054.87,13346.12,2708.75,Partially Paid
INV00477,SR003,2025-02-23,2025-02-27,2025-04-28,10236.41,6483.09,3753.32,Partially Paid
INV00478,SR008,2024-05-09,2024-05-11,2024-07-10,8751,3299.05,5451.95,Partially Paid
INV00479,SR015,2024-11-02,2024-11-06,2025-01-05,8315.7,4212.84,4102.86,Partially Paid
INV00480,SR023,2024-08-02,2024-08-07,2024-09-06,15919.06,5723.37,10195.69,Partially Paid
INV00481,SR018,2024-10-31,2024-11-01,2024-12-01,15494.6,10189.27,5305.33,Partially Paid
INV00482,SR012,2024-03-26,2024-03-31,2024-04-30,11482.8,7406.76,4076.04,Partially Paid
INV00483,SR021,2024-07-23,2024-07-26,2024-09-09,2565.92,253.02,2312.9,Partially Paid
INV00484,SR008,2024-09-18,2024-09-23,2024-11-22,11820.11,6799.35,5020.76,Partially Paid
INV00485,SR015,2024-07-10,2024-07-14,2024-08-28,15560.67,9158.85,6401.82,Partially Paid
INV00486,SR017,2024-03-18,2024-03-21,2024-04-20,9914.04,2928.93,6985.11,Partially Paid
INV00487,SR003,2024-02-29,2024-03-02,2024-04-16,6581.86,2996.94,3584.92,Partially Paid
INV00488,SR007,2024-09-23,2024-09-27,2024-11-11,9785.17,4287.53,5497.64,Partially Paid
INV00489,SR023,2024-08-19,2024-08-22,2024-09-21,6355.15,5148.85,1206.3,Partially Paid
INV00490,SR004,2024-01-12,2024-01-15,2024-03-15,2632.57,2106.19,526.38,Partially Paid
INV00491,SR024,2024-05-04,2024-05-09,2024-06-08,11262.25,3727.69,7534.56,Partially Paid
INV00492,SR014,2025-05-05,2025-05-09,2025-06-08,16056.24,10111.58,5944.66,Partially Paid
INV00493,SR006,2024-11-23,2024-11-27,2025-01-11,1069.25,656.63,412.62,Partially Paid
INV00494,SR007,2024-08-18,2024-08-23,2024-10-07,8082.3,5695.88,2386.42,Partially Paid
INV00495,SR007,2024-05-22,2024-05-23,2024-07-22,2484.16,2166.14,318.02,Partially Paid
INV00496,SR006,2024-07-06,2024-07-09,2024-08-08,9422.23,2471.95,6950.28,Partially Paid
INV00497,SR016,2024-09-27,2024-09-30,2024-11-29,8078.47,3171.15,4907.32,Partially Paid
INV00498,SR004,2024-06-27,2024-06-30,2024-08-14,12538.57,10203.11,2335.46,Partially Paid
INV00499,SR023,2025-02-13,2025-02-16,2025-04-17,12008.28,8070.89,3937.39,Partially Paid
INV00500,SR011,2024-03-01,2024-03-03,2024-04-17,2780.5,1037.98,1742.52,Partially Paid
INV00501,SR005,2024-09-18,2024-09-22,2024-11-06,12130.3,6972.57,5157.73,Partially Paid
INV00502,SR014,2024-04-05,2024-04-09,2024-06-08,10978.9,10091.38,887.52,Partially Paid
INV00503,SR006,2024-10-11,2024-10-13,2024-11-27,6132.28,1147.34,4984.94,Partially Paid
INV00504,SR015,2024-11-13,2024-11-14,2024-12-29,19060.92,9237.09,9823.83,Partially Paid
INV00505,SR007,2025-02-21,2025-02-25,2025-04-26,10356.04,5125.93,5230.11,Partially Paid
INV00506,SR022,2024-09-08,2024-09-12,2024-11-11,16877.89,8248.22,8629.67,Partially Paid
INV00507,SR003,2024-10-16,2024-10-17,2024-11-16,6195.75,1702.92,4492.83,Partially Paid
INV00508,SR018,2024-05-27,2024-05-29,2024-07-13,11530.18,8907.61,2622.57,Partially Paid
INV00509,SR016,2024-10-08,2024-10-13,2024-11-12,11667.92,3125.71,8542.21,Partially Paid
INV00510,SR018,2025-02-25,2025-02-28,2025-04-29,16540.91,688.28,15852.63,Partially Paid
INV00511,SR024,2024-08-13,2024-08-18,2024-09-17,19800.63,2027.91,17772.72,Partially Paid
INV00512,SR021,2025-01-19,2025-01-21,2025-03-07,17558.79,565.93,16992.86,Partially Paid
INV00513,SR009,2024-06-27,2024-06-28,2024-08-12,17373.16,2039.37,15333.79,Partially Paid
INV00514,SR008,2024-04-17,2024-04-22,2024-06-21,7337.3,5215.02,2122.28,Partially Paid
INV00515,SR021,2024-08-07,2024-08-09,2024-10-08,3215.08,664.3,2550.78,Partially Paid
INV00516,SR007,2025-02-16,2025-02-17,2025-04-18,7340.9,2063.42,5277.48,Partially Paid
INV00517,SR018,2024-03-27,2024-03-30,2024-05-29,6206.38,3554.61,2651.77,Partially Paid
INV00518,SR017,2025-04-05,2025-04-06,2025-05-06,19274.05,15143.45,4130.6,Partially Paid
INV00519,SR002,2024-05-21,2024-05-23,2024-07-22,17388.54,4341.52,13047.02,Partially Paid
INV00520,SR023,2024-06-13,2024-06-15,2024-08-14,8157.66,1159.79,6997.87,Partially Paid
INV00521,SR021,2024-05-17,2024-05-21,2024-07-05,9313.84,5901.51,3412.33,Partially Paid
INV00522,SR025,2024-02-17,2024-02-21,2024-04-21,15121.15,10504.72,4616.43,Partially Paid
INV00523,SR012,2024-08-20,2024-08-24,2024-10-08,11848.13,10294.93,1553.2,Partially Paid
INV00524,SR024,2024-02-17,2024-02-21,2024-04-21,13450.8,4818.38,8632.42,Partially Paid
INV00525,SR003,2025-02-11,2025-02-16,2025-04-02,4747.68,2039.81,2707.87,Partially Paid
INV00526,SR007,2024-09-10,2024-09-13,2024-10-28,16652.7,5624.54,11028.16,Partially Paid
INV00527,SR019,2024-03-07,2024-03-12,2024-04-26,15871.92,14191.95,1679.97,Partially Paid
INV00528,SR025,2024-01-25,2024-01-26,2024-02-25,12710.5,10634.9,2075.6,Partially Paid
INV00529,SR001,2024-03-04,2024-03-06,2024-04-20,9402.1,9325.36,76.74,Partially Paid
INV00530,SR014,2024-04-13,2024-04-15,2024-06-14,6386.38,5584.4,801.98,Partially Paid
INV00531,SR009,2024-02-17,2024-02-20,2024-04-05,2107.2,1400.25,706.95,Partially Paid
INV00532,SR021,2024-03-25,2024-03-26,2024-05-10,12699.28,9219.53,3479.75,Partially Paid
INV00533,SR025,2024-04-29,2024-05-03,2024-07-02,2278.38,216.86,2061.52,Partially Paid
INV00534,SR007,2024-09-01,2024-09-02,2024-10-02,12076.75,6273.2,5803.55,Partially Paid
INV00535,SR015,2024-01-05,2024-01-06,2024-03-06,7199.7,868.24,6331.46,Partially Paid
INV00536,SR014,2024-12-21,2024-12-23,2025-02-06,1881.15,720.61,1160.54,Partially Paid
INV00537,SR024,2025-02-16,2025-02-17,2025-03-19,6610.35,5823.65,786.7,Partially Paid
INV00538,SR005,2024-07-14,2024-07-16,2024-09-14,19862.33,2837.39,17024.94,Partially Paid
